Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID
Otabek Shukurov,MF,uz Uzbekistan,29,2.6,2,0,0.0,MF,Midfielder,PL0498
Kwasi Sibo,MF,gh Ghana,27,2.8,0,0,0.0,MF,Midfielder,PL0499
Niko Sigur,MF,ca Canada,22,1.4,1,0,0.0,MF,Midfielder,PL0500
Bernardo Silva,MF,pt Portugal,31,1.1,1,0,0.0,MF,Midfielder,PL0501
Éderson Silva,MF,br Brazil,26,0.2,2,0,0.0,MF,Midfielder,PL0502
Giuliano Simeone,FW,ar Argentina,23,2.1,1,0,0.0,FW,Forward,PL0503
Dominique Simon,MF,ht Haiti,25,0.6,1,1,1.61,MF,Midfielder,PL0504
Sarpreet Singh,MF,nz New Zealand,27,2.3,4,2,0.86,MF,Midfielder,PL0505
Sphephelo Sithole,MF,za South Africa,27,2.5,0,0,0.0,MF,Midfielder,PL0506
Ellyes Skhiri,"MF,DF",tn Tunisia,31,2.8,0,0,0.0,MF,Midfielder,PL0507
Alexandr Sojka,"MF,DF",cz Czechia,23,1.6,0,0,0.0,MF,Midfielder,PL0508
Ramón Sosa,"FW,MF",py Paraguay,26,0.1,0,0,0.0,FW,Forward,PL0509
Tomáš Sou?ek,MF,cz Czechia,31,1.5,1,0,0.0,MF,Midfielder,PL0510
Djibril Sow,MF,ch Switzerland,29,2.8,2,1,0.36,MF,Midfielder,PL0511
Marko Stamenic,MF,nz New Zealand,24,3.0,3,0,0.0,MF,Midfielder,PL0512
Angelo Stiller,MF,de Germany,25,0.5,0,0,0.0,MF,Midfielder,PL0513
Jørgen Strand Larsen,FW,no Norway,26,1.2,2,1,0.86,FW,Forward,PL0514
Elliot Stroud,MF,se Sweden,23,1.8,1,0,0.0,MF,Midfielder,PL0515
Luis Suárez,FW,co Colombia,28,3.7,9,0,0.0,FW,Forward,PL0516
Luka Su?i?,"FW,MF",hr Croatia,23,0.2,1,0,0.0,FW,Forward,PL0517
Petar Su?i?,"MF,FW",hr Croatia,22,3.2,3,2,0.62,MF,Midfielder,PL0518
Yukinari Sugawara,MF,jp Japan,25,1.6,2,2,1.22,MF,Midfielder,PL0519
Pavel Šulc,FW,cz Czechia,25,2.1,2,0,0.0,FW,Forward,PL0520
Kamaldeen Sulemana,"MF,FW",gh Ghana,24,1.4,1,0,0.0,MF,Midfielder,PL0521
