Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID
Josué Casimir,MF,ht Haiti,24,2.0,1,0,0.0,MF,Midfielder,PL0109
Kevin Castaño,MF,co Colombia,25,0.2,0,0,0.0,MF,Midfielder,PL0110
Jens Castrop,MF,kr Korea Republic,22,0.5,0,0,0.0,MF,Midfielder,PL0111
Lukáš ?erv,MF,cz Czechia,25,1.8,3,2,1.1,MF,Midfielder,PL0112
Fares Chaïbi,MF,dz Algeria,23,4.0,9,3,0.75,MF,Midfielder,PL0113
Firas Chaouat,FW,tn Tunisia,30,0.5,0,0,0.0,FW,Forward,PL0114
Luis Chávez,MF,mx Mexico,30,0.3,0,0,0.0,MF,Midfielder,PL0115
Rayan Cherki,MF,fr France,22,1.4,1,1,0.69,MF,Midfielder,PL0116
Mathieu Choinière,MF,ca Canada,27,0.6,0,0,0.0,MF,Midfielder,PL0117
Tahith Chong,MF,cw Curaçao,26,2.7,4,2,0.73,MF,Midfielder,PL0118
Tomáš Chorý,FW,cz Czechia,31,0.3,0,0,0.0,FW,Forward,PL0119
Ryan Christie,MF,sct Scotland,31,1.1,2,0,0.0,MF,Midfielder,PL0120
Carney Chukwuemeka,MF,at Austria,22,0.9,2,1,1.08,MF,Midfielder,PL0121
Mojmír Chytil,FW,cz Czechia,27,0.1,0,0,0.0,FW,Forward,PL0122
Brian Cipenga,"MF,FW",cd Congo DR,28,1.6,6,1,0.62,MF,Midfielder,PL0123
Livano Comenencia,MF,cw Curaçao,22,2.6,5,2,0.77,MF,Midfielder,PL0124
Francisco Conceição,MF,pt Portugal,23,1.4,2,0,0.0,MF,Midfielder,PL0125
Jhon Córdoba,FW,co Colombia,33,1.1,2,1,0.91,FW,Forward,PL0126
Nuno da Costa,FW,cv Cabo Verde,35,1.8,1,0,0.0,FW,Forward,PL0127
Samu Costa,MF,pt Portugal,25,0.2,0,0,0.0,MF,Midfielder,PL0128
Vladimír Coufal,"MF,DF",cz Czechia,33,3.0,1,0,0.0,MF,Midfielder,PL0129
Andrés Cubas,MF,py Paraguay,30,5.3,1,0,0.0,MF,Midfielder,PL0130
Cucho,"FW,MF",co Colombia,27,0.6,1,0,0.0,FW,Forward,PL0131
Matheus Cunha,FW,br Brazil,27,3.2,11,5,1.55,FW,Forward,PL0132
Findlay Curtis,MF,sct Scotland,19,0.1,0,0,0.0,MF,Midfielder,PL0133
Vladimír Darida,MF,cz Czechia,35,0.6,1,0,0.0,MF,Midfielder,PL0134
Jonathan David,FW,ca Canada,26,4.7,18,8,1.71,FW,Forward,PL0135
Promise David,FW,ca Canada,24,0.9,5,3,3.38,FW,Forward,PL0136
Nasser Al-Dawsari,MF,sa Saudi Arabia,27,2.3,1,0,0.0,MF,Midfielder,PL0137
Salem Al-Dawsari,MF,sa Saudi Arabia,34,2.7,3,0,0.0,MF,Midfielder,PL0138
Kevin De Bruyne,MF,be Belgium,34,4.2,20,5,1.18,MF,Midfielder,PL0139
Charles De Ketelaere,"FW,MF",be Belgium,25,3.9,6,5,1.29,FW,Forward,PL0140
Nicolás De La Cruz,MF,uy Uruguay,29,1.0,4,2,2.09,MF,Midfielder,PL0141
Rodrigo De Paul,MF,ar Argentina,32,5.5,2,1,0.18,MF,Midfielder,PL0142
Louicius Deedson,MF,ht Haiti,25,1.2,2,0,0.0,MF,Midfielder,PL0143
Ousmane Dembélé,MF,fr France,29,6.6,20,10,1.52,MF,Midfielder,PL0144
Ermedin Demirovi?,FW,ba Bosnia–Herz,28,3.9,4,4,1.02,FW,Forward,PL0145
Sergiño Dest,MF,us USA,25,3.3,3,1,0.3,MF,Midfielder,PL0146
Oumar Diakité,FW,ci Côte d'Ivoire,22,0.3,0,0,0.0,FW,Forward,PL0147
Amad Diallo,"MF,FW",ci Côte d'Ivoire,23,2.1,8,4,1.95,MF,Midfielder,PL0148
Assane Diao,MF,sn Senegal,20,0.1,0,0,0.0,MF,Midfielder,PL0149
Habib Diarra,MF,sn Senegal,22,1.6,4,2,1.26,MF,Midfielder,PL0150
Brahim Díaz,MF,ma Morocco,26,5.1,6,1,0.2,MF,Midfielder,PL0151
Ismael Díaz,"FW,MF",pa Panama,29,0.4,6,2,4.86,FW,Forward,PL0152
Luis Díaz,"FW,MF",co Colombia,29,5.3,19,6,1.13,FW,Forward,PL0153
Bamba Dieng,FW,sn Senegal,26,0.1,0,0,0.0,FW,Forward,PL0154
Yan Diomandé,"MF,FW",ci Côte d'Ivoire,19,3.7,4,0,0.0,MF,Midfielder,PL0155
Ritsu Doan,MF,jp Japan,27,3.1,1,0,0.0,MF,Midfielder,PL0156
Jeremy Doku,MF,be Belgium,24,3.4,3,1,0.29,MF,Midfielder,PL0157
David Doud?ra,MF,cz Czechia,28,1.0,4,0,0.0,MF,Midfielder,PL0158
Désiré Doué,MF,fr France,21,4.4,13,8,1.8,MF,Midfielder,PL0159
Deroy Duarte,MF,cv Cabo Verde,26,2.9,3,2,0.68,MF,Midfielder,PL0160
Laros Duarte,MF,cv Cabo Verde,29,1.8,3,3,1.63,MF,Midfielder,PL0161
Lyndon Dykes,"FW,MF",sct Scotland,30,0.4,1,0,0.0,FW,Forward,PL0162
Edin Džeko,FW,ba Bosnia–Herz,40,2.0,3,0,0.0,FW,Forward,PL0163
Anthony Elanga,"MF,FW",se Sweden,24,2.4,3,3,1.24,MF,Midfielder,PL0164
Meschak Elia,"FW,MF",cd Congo DR,28,0.5,2,1,1.96,FW,Forward,PL0165
Breel Embolo,FW,ch Switzerland,29,5.6,10,5,0.9,FW,Forward,PL0166
Julio Enciso,FW,py Paraguay,22,4.3,8,1,0.23,FW,Forward,PL0167
Endrick,FW,br Brazil,19,1.3,3,0,0.0,FW,Forward,PL0168
Pervis Estupiñán,MF,ec Ecuador,28,1.0,0,0,0.0,MF,Midfielder,PL0169
Derrick Etienne,"FW,MF",ht Haiti,29,0.1,0,0,0.0,FW,Forward,PL0170
Stephen Eustáquio,MF,ca Canada,29,4.4,4,1,0.23,MF,Midfielder,PL0171
Saeid Ezatolahi,MF,ir IR Iran,29,2.9,6,2,0.68,MF,Midfielder,PL0172
Eberechi Eze,MF,eng England,27,2.3,5,0,0.0,MF,Midfielder,PL0173
José Fajardo,FW,pa Panama,32,1.7,1,0,0.0,FW,Forward,PL0174
Odeh Al-Fakhouri,"MF,FW",jo Jordan,20,1.6,2,1,0.61,MF,Midfielder,PL0175
Marko Farji,MF,iq Iraq,22,0.6,0,0,0.0,MF,Midfielder,PL0176
Christian Fassnacht,"FW,MF",ch Switzerland,32,0.1,0,0,0.0,FW,Forward,PL0177
Abdul Fatawu Issahaku,"FW,MF",gh Ghana,22,1.5,3,0,0.0,FW,Forward,PL0178
Ahmed Fathy,MF,qa Qatar,33,1.7,0,0,0.0,MF,Midfielder,PL0179
Abbosbek Fayzullayev,MF,uz Uzbekistan,22,2.4,3,2,0.82,MF,Midfielder,PL0180
João Félix,MF,pt Portugal,26,2.2,6,1,0.45,MF,Midfielder,PL0181
Lewis Ferguson,MF,sct Scotland,26,3.0,2,1,0.33,MF,Midfielder,PL0182
Bruno Fernandes,MF,pt Portugal,31,4.7,9,3,0.64,MF,Midfielder,PL0183
Enzo Fernández,MF,ar Argentina,25,7.3,12,4,0.55,MF,Midfielder,PL0184
Matias Fernandez-Pardo,"FW,MF",be Belgium,21,0.5,3,0,0.0,FW,Forward,PL0185
Álvaro Fidalgo,MF,mx Mexico,29,1.1,3,2,1.87,MF,Midfielder,PL0186
Seko Fofana,MF,ci Côte d'Ivoire,31,1.0,5,1,0.98,MF,Midfielder,PL0187
Yassin Fortuné,"FW,MF",ht Haiti,27,0.1,0,0,0.0,FW,Forward,PL0188
Lyle Foster,FW,za South Africa,25,0.6,1,0,0.0,FW,Forward,PL0189
Remo Freuler,MF,ch Switzerland,34,6.6,2,1,0.15,MF,Midfielder,PL0190
Jassem Gaber,MF,qa Qatar,24,1.7,0,0,0.0,MF,Midfielder,PL0191
Cody Gakpo,FW,nl Netherlands,27,4.1,10,6,1.47,FW,Forward,PL0192
Matías Galarza,MF,py Paraguay,24,4.3,2,1,0.23,MF,Midfielder,PL0193
Ahmed Al-Ganehi,FW,qa Qatar,25,0.4,1,0,0.0,FW,Forward,PL0194
Ben Gannon-Doak,MF,sct Scotland,20,2.1,4,0,0.0,MF,Midfielder,PL0195
Gavi,FW,es Spain,21,0.8,1,0,0.0,FW,Forward,PL0196
Ismaël Gharbi,MF,tn Tunisia,22,1.4,3,0,0.0,MF,Midfielder,PL0197
Mehdi Ghayedi,FW,ir IR Iran,27,0.5,1,0,0.0,FW,Forward,PL0198
Saman Ghoddos,MF,ir IR Iran,32,2.3,4,0,0.0,MF,Midfielder,PL0199
Mohammad Ghorbani,MF,ir IR Iran,25,1.0,2,1,1.0,MF,Midfielder,PL0200
Armin Gigovic,MF,ba Bosnia–Herz,24,0.9,0,0,0.0,MF,Midfielder,PL0201
Santiago Giménez,FW,mx Mexico,25,1.0,2,1,1.05,FW,Forward,PL0202
Diego Gómez,MF,py Paraguay,23,3.4,6,0,0.0,MF,Midfielder,PL0203
Armando González,FW,mx Mexico,23,0.2,0,0,0.0,FW,Forward,PL0204
Nicolás González,MF,ar Argentina,28,2.9,7,1,0.35,MF,Midfielder,PL0205
Anthony Gordon,MF,eng England,25,4.4,6,4,0.91,MF,Midfielder,PL0206
Leon Goretzka,MF,de Germany,31,1.1,2,0,0.0,MF,Midfielder,PL0207
Kenji Gorré,"FW,MF",cw Curaçao,31,0.2,0,0,0.0,FW,Forward,PL0208
Keisuke Got?,FW,jp Japan,21,0.1,0,0,0.0,FW,Forward,PL0209
Amine Gouiri,FW,dz Algeria,26,2.8,3,2,0.72,FW,Forward,PL0210
Ryan Gravenberch,MF,nl Netherlands,24,3.8,5,0,0.0,MF,Midfielder,PL0211
Michael Gregoritsch,FW,at Austria,32,2.1,1,0,0.0,FW,Forward,PL0212
Gabriel Gudmundsson,"MF,DF",se Sweden,27,3.7,0,0,0.0,MF,Midfielder,PL0213
Cho Gue-sung,FW,kr Korea Republic,28,0.3,2,1,2.9,FW,Forward,PL0214
Evann Guessand,"FW,MF",ci Côte d'Ivoire,24,0.2,1,0,0.0,FW,Forward,PL0215
Idrissa Gueye,MF,sn Senegal,36,4.0,5,1,0.25,MF,Midfielder,PL0216
Pape Gueye,MF,sn Senegal,27,2.6,8,3,1.15,MF,Midfielder,PL0217
Bruno Guimarães,MF,br Brazil,28,4.6,8,2,0.43,MF,Midfielder,PL0218
Deniz Gül,FW,tr Türkiye,21,0.4,2,1,2.43,FW,Forward,PL0219
Arda Güler,MF,tr Türkiye,21,3.0,12,4,1.33,MF,Midfielder,PL0220
Brian Gutiérrez,MF,mx Mexico,22,2.2,6,0,0.0,MF,Midfielder,PL0221
Viktor Gyökeres,FW,se Sweden,28,4.0,12,6,1.5,FW,Forward,PL0222
Aziz G?aniyev,MF,uz Uzbekistan,28,1.4,1,0,0.0,MF,Midfielder,PL0223
Erling Haaland,FW,no Norway,25,5.2,20,13,2.52,FW,Forward,PL0224
Anis Hadj Moussa,MF,dz Algeria,24,1.1,2,0,0.0,MF,Midfielder,PL0225
Amir Hadžiahmetovi?,MF,ba Bosnia–Herz,29,0.1,0,0,0.0,MF,Midfielder,PL0226
Ali Al Hamadi,FW,iq Iraq,24,2.0,6,0,0.0,FW,Forward,PL0227
Abdullah Al-Hamdan,FW,sa Saudi Arabia,26,0.8,2,2,2.54,FW,Forward,PL0228
Odiljon Hamrobekov,MF,uz Uzbekistan,30,0.9,1,0,0.0,MF,Midfielder,PL0229
Sontje Hansen,FW,cw Curaçao,24,0.5,1,1,2.0,FW,Forward,PL0230
Carlos Harvey,MF,pa Panama,26,3.0,5,0,0.0,MF,Midfielder,PL0231
Haissem Hassan,MF,eg Egypt,24,1.4,1,0,0.0,MF,Midfielder,PL0232
Abdulaziz Hatem,MF,qa Qatar,36,0.5,0,0,0.0,MF,Midfielder,PL0233
Kai Havertz,FW,de Germany,27,3.9,12,7,1.78,FW,Forward,PL0234
Hassan Al-Haydos,MF,qa Qatar,35,0.6,1,1,1.58,MF,Midfielder,PL0235
Hwang Hee-chan,FW,kr Korea Republic,30,1.2,1,0,0.0,FW,Forward,PL0236
Alaa Al Hejji,MF,sa Saudi Arabia,30,0.4,0,0,0.0,MF,Midfielder,PL0237
Jordan Henderson,MF,eng England,35,0.1,0,0,0.0,MF,Midfielder,PL0238
Luiz Henrique,"FW,MF",br Brazil,25,0.3,0,0,0.0,FW,Forward,PL0239
Son Heung-min,FW,kr Korea Republic,33,1.9,7,1,0.53,FW,Forward,PL0240
Adam Hložek,FW,cz Czechia,23,1.7,3,1,0.58,FW,Forward,PL0241
Amirhossein Hosseinzadeh,FW,ir IR Iran,25,0.2,1,0,0.0,FW,Forward,PL0242
Ajdin Hrustic,MF,au Australia,29,0.9,3,0,0.0,MF,Midfielder,PL0243
César Huerta,"FW,MF",mx Mexico,25,0.1,0,0,0.0,FW,Forward,PL0244
Al-Hashmi Al-Hussain,MF,qa Qatar,22,0.4,0,0,0.0,MF,Midfielder,PL0245
Ayman Hussein,FW,iq Iraq,30,1.3,3,1,0.78,FW,Forward,PL0246
Oh Hyeon-gyu,FW,kr Korea Republic,25,1.4,4,2,1.4,FW,Forward,PL0247
Yang Hyun-jun,"FW,MF",kr Korea Republic,24,0.2,1,1,4.5,FW,Forward,PL0248
Hwang In-beom,MF,kr Korea Republic,29,2.9,4,2,0.68,MF,Midfielder,PL0249
Christ Inao Oulaï,MF,ci Côte d'Ivoire,20,2.3,2,0,0.0,MF,Midfielder,PL0250
Zidane Iqbal,MF,iq Iraq,23,2.1,0,0,0.0,MF,Midfielder,PL0251
Nestory Irankunda,"FW,MF",au Australia,20,2.9,6,2,0.69,FW,Forward,PL0252
Jackson Irvine,MF,au Australia,33,2.5,3,1,0.4,MF,Midfielder,PL0253
Alexander Isak,FW,se Sweden,26,4.0,8,6,1.51,FW,Forward,PL0254
Wilson Isidor,FW,ht Haiti,25,2.1,5,2,0.97,FW,Forward,PL0255
Jamshid Iskanderov,"FW,MF",uz Uzbekistan,32,0.1,0,0,0.0,FW,Forward,PL0256
Zaid Ismail,MF,iq Iraq,24,1.3,0,0,0.0,MF,Midfielder,PL0257
Junya It?,MF,jp Japan,33,2.4,3,1,0.42,MF,Midfielder,PL0258
Cedric Itten,"FW,MF",ch Switzerland,29,0.5,0,0,0.0,FW,Forward,PL0259
Nicolas Jackson,FW,sn Senegal,24,2.6,7,3,1.15,FW,Forward,PL0260
Lee Jae-sung,FW,kr Korea Republic,33,1.3,2,1,0.77,FW,Forward,PL0261
Alireza Jahanbakhsh,"FW,MF",ir IR Iran,32,0.5,1,0,0.0,FW,Forward,PL0262
Amer Jamous,MF,jo Jordan,23,0.2,0,0,0.0,MF,Midfielder,PL0263
Ardon Jashari,MF,ch Switzerland,23,0.8,2,0,0.0,MF,Midfielder,PL0264
Ali Jasim,MF,iq Iraq,22,1.4,4,1,0.7,MF,Midfielder,PL0265
Danley Jean-Jacques,MF,ht Haiti,26,2.9,0,0,0.0,MF,Midfielder,PL0266
Eom Ji-sung,MF,kr Korea Republic,24,0.5,0,0,0.0,MF,Midfielder,PL0267
Raúl Jiménez,FW,mx Mexico,35,3.5,18,7,1.99,FW,Forward,PL0268
Kim Jin-gyu,MF,kr Korea Republic,29,0.6,1,0,0.0,MF,Midfielder,PL0269
Frenkie de Jong,MF,nl Netherlands,29,3.6,1,0,0.0,MF,Midfielder,PL0270
Lenny Joseph,FW,ht Haiti,25,1.3,2,0,0.0,FW,Forward,PL0271
Edmilson Junior,"MF,FW",qa Qatar,31,2.3,3,2,0.86,MF,Midfielder,PL0272
Vinicius Júnior,FW,br Brazil,25,4.9,17,11,2.25,FW,Forward,PL0273
Elijah Just,MF,nz New Zealand,26,2.9,7,5,1.7,MF,Midfielder,PL0274
Musab Al Juwayr,"MF,FW",sa Saudi Arabia,22,1.7,0,0,0.0,MF,Midfielder,PL0275
Ayoub El Kaabi,FW,ma Morocco,32,0.8,3,2,2.61,FW,Forward,PL0276
Kaku,MF,py Paraguay,31,0.1,0,0,0.0,MF,Midfielder,PL0277
Saša Kalajdži?,FW,at Austria,28,0.9,4,1,1.17,FW,Forward,PL0278
Daichi Kamada,MF,jp Japan,29,3.7,3,2,0.55,MF,Midfielder,PL0279
Harry Kane,FW,eng England,32,7.2,23,12,1.66,FW,Forward,PL0280
Lee Kang-in,FW,kr Korea Republic,25,3.0,4,1,0.33,FW,Forward,PL0281
Mohamed Kanno,MF,sa Saudi Arabia,31,2.5,3,2,0.8,MF,Midfielder,PL0282
Jesper Karlström,MF,se Sweden,30,1.5,1,0,0.0,MF,Midfielder,PL0283
Gervane Kastaneer,"FW,MF",cw Curaçao,30,0.3,1,0,0.0,FW,Forward,PL0284
Edo Kayembe,MF,cd Congo DR,28,1.8,2,1,0.56,MF,Midfielder,PL0285
Franck Kessié,MF,ci Côte d'Ivoire,29,3.8,4,2,0.52,MF,Midfielder,PL0286
Abdullah Al-Khaibari,MF,sa Saudi Arabia,29,2.0,1,0,0.0,MF,Midfielder,PL0287
Dostonbek Khamdamov,MF,uz Uzbekistan,29,1.1,2,0,0.0,MF,Midfielder,PL0288
Bilal El Khannouss,"MF,FW",ma Morocco,22,5.1,6,4,0.78,MF,Midfielder,PL0289
Rani Khedira,MF,tn Tunisia,32,1.7,1,0,0.0,MF,Midfielder,PL0290
Justin Kluivert,"FW,MF",nl Netherlands,27,0.3,0,0,0.0,FW,Forward,PL0291
Orkun Kökçü,MF,tr Türkiye,25,1.7,3,0,0.0,MF,Midfielder,PL0292
Ismaël Koné,MF,ca Canada,23,1.6,2,0,0.0,MF,Midfielder,PL0293
Manu Koné,MF,fr France,25,4.3,6,2,0.47,MF,Midfielder,PL0294
Mateo Kova?i?,MF,hr Croatia,32,3.0,5,4,1.33,MF,Midfielder,PL0295
Andrej Kramari?,"FW,MF",hr Croatia,34,0.7,1,0,0.0,FW,Forward,PL0296
Takefusa Kubo,MF,jp Japan,25,0.8,1,0,0.0,MF,Midfielder,PL0297
Prince Kwabena Adu,FW,gh Ghana,22,0.4,1,1,2.31,FW,Forward,PL0298
Konrad Laimer,"MF,DF",at Austria,29,4.0,1,0,0.0,MF,Midfielder,PL0299
Noa Lang,"FW,MF",nl Netherlands,26,0.1,0,0,0.0,FW,Forward,PL0300
Cyle Larin,FW,ca Canada,31,2.1,9,4,1.89,FW,Forward,PL0301
Mohanad Lasheen,MF,eg Egypt,30,4.0,2,0,0.0,MF,Midfielder,PL0302
Issa Laye,"MF,DF",qa Qatar,28,3.0,1,0,0.0,MF,Midfielder,PL0303
Rafael Leão,MF,pt Portugal,27,1.8,4,1,0.57,MF,Midfielder,PL0304
Mathew Leckie,MF,au Australia,35,0.7,1,0,0.0,MF,Midfielder,PL0305
Jefferson Lerma,MF,co Colombia,31,4.6,5,1,0.22,MF,Midfielder,PL0306
Jamie Leweling,"FW,MF",de Germany,25,0.3,1,0,0.0,FW,Forward,PL0307
Erik Lira,MF,mx Mexico,26,3.8,0,0,0.0,MF,Midfielder,PL0308
Dailon Livramento,FW,cv Cabo Verde,25,1.9,1,0,0.0,FW,Forward,PL0309
Giovani Lo Celso,MF,ar Argentina,30,0.7,1,1,1.53,MF,Midfielder,PL0310
Jürgen Locadia,FW,cw Curaçao,32,2.6,1,0,0.0,FW,Forward,PL0311
Azarías Londoño,MF,pa Panama,24,0.6,1,0,0.0,MF,Midfielder,PL0312
Flaco López,FW,ar Argentina,25,0.2,1,0,0.0,FW,Forward,PL0313
José Luis Rodríguez,"MF,FW",pa Panama,27,2.6,3,1,0.39,MF,Midfielder,PL0314
Romelu Lukaku,FW,be Belgium,33,2.6,6,3,1.16,FW,Forward,PL0315
Dodi Lukebakio,MF,be Belgium,28,1.8,7,1,0.55,MF,Midfielder,PL0316
Jovo Luki?,FW,ba Bosnia–Herz,27,0.7,3,2,2.69,FW,Forward,PL0317
Awer Mabil,"FW,MF",au Australia,30,0.3,1,0,0.0,FW,Forward,PL0318
Alexis Mac Allister,MF,ar Argentina,27,8.3,13,4,0.48,MF,Midfielder,PL0319
Shuto Machino,FW,jp Japan,26,0.1,0,0,0.0,FW,Forward,PL0320
Assim Madibo,MF,qa Qatar,29,1.5,0,0,0.0,MF,Midfielder,PL0321
Noni Madueke,MF,eng England,24,3.2,6,1,0.31,MF,Midfielder,PL0322
Daizen Maeda,MF,jp Japan,28,2.7,2,1,0.37,MF,Midfielder,PL0323
Ermin Mahmi?,MF,ba Bosnia–Herz,21,0.8,4,2,2.65,MF,Midfielder,PL0324
Hadj Mahmoud,MF,tn Tunisia,26,0.5,0,0,0.0,MF,Midfielder,PL0325
Riyad Mahrez,MF,dz Algeria,35,2.9,6,3,1.03,MF,Midfielder,PL0326
Evidence Makgopa,FW,za South Africa,26,2.4,4,3,1.26,FW,Forward,PL0327
Donyell Malen,FW,nl Netherlands,27,2.1,4,2,0.97,FW,Forward,PL0328
Sadio Mané,"MF,FW",sn Senegal,34,4.0,6,3,0.75,MF,Midfielder,PL0329
Johan Manzambi,"MF,FW",ch Switzerland,20,2.2,6,3,1.36,MF,Midfielder,PL0330
Mahmoud Al-Mardi,MF,jo Jordan,32,1.4,1,1,0.69,MF,Midfielder,PL0331
Jearl Margaritha,"FW,MF",cw Curaçao,26,0.5,1,0,0.0,FW,Forward,PL0332
Omar Marmoush,"FW,MF",eg Egypt,27,3.6,11,1,0.28,FW,Forward,PL0333
Gabriel Martinelli,MF,br Brazil,24,1.6,2,1,0.63,MF,Midfielder,PL0334
Guillermo Martínez Ayala,FW,mx Mexico,31,0.8,0,0,0.0,FW,Forward,PL0335
Cristian Martínez,"MF,FW",pa Panama,29,2.7,1,0,0.0,MF,Midfielder,PL0336
Lautaro Martínez,FW,ar Argentina,28,3.4,10,4,1.16,FW,Forward,PL0337
Thapelo Maseko,"MF,FW",za South Africa,22,2.7,8,1,0.37,MF,Midfielder,PL0338
Hazem Mastouri,FW,tn Tunisia,28,1.0,3,2,2.02,FW,Forward,PL0339
Igor Matanovi?,FW,hr Croatia,23,1.1,4,2,1.89,FW,Forward,PL0340
Pape Matar Sarr,MF,sn Senegal,23,0.7,4,0,0.0,MF,Midfielder,PL0341
Jean-Philippe Mateta,FW,fr France,28,0.3,3,1,3.75,FW,Forward,PL0342
Mauricio,MF,py Paraguay,25,1.9,4,3,1.56,MF,Midfielder,PL0343
Fiston Mayele,FW,cd Congo DR,31,0.5,5,1,2.14,FW,Forward,PL0344
Ibrahim Maza,"MF,FW",dz Algeria,20,3.9,11,3,0.77,MF,Midfielder,PL0345
Kylian Mbappé,FW,fr France,27,7.7,41,23,2.98,FW,Forward,PL0346
Thalente Mbatha,MF,za South Africa,26,2.9,4,1,0.35,MF,Midfielder,PL0347
Ibrahim Mbaye,MF,sn Senegal,18,1.7,4,1,0.57,MF,Midfielder,PL0348
Nathanaël Mbuku,"MF,FW",cd Congo DR,24,1.6,3,2,1.26,MF,Midfielder,PL0349
Callum McCowatt,MF,nz New Zealand,27,1.8,4,3,1.7,MF,Midfielder,PL0350
John McGinn,MF,sct Scotland,31,2.9,3,1,0.35,MF,Midfielder,PL0351
Weston McKennie,MF,us USA,27,4.9,5,1,0.2,MF,Midfielder,PL0352
Kenny McLean,MF,sct Scotland,34,1.3,1,0,0.0,MF,Midfielder,PL0353
Scott McTominay,MF,sct Scotland,29,3.0,8,3,1.0,MF,Midfielder,PL0354
Hannibal Mejbri,MF,tn Tunisia,23,3.0,3,1,0.33,MF,Midfielder,PL0355
Amar Memi?,MF,ba Bosnia–Herz,25,2.5,3,1,0.4,MF,Midfielder,PL0356
Memphis,"FW,MF",nl Netherlands,32,0.6,0,0,0.0,FW,Forward,PL0357
Sultan Mendash,MF,sa Saudi Arabia,31,0.7,0,0,0.0,MF,Midfielder,PL0358
Ryan Mendes,"FW,MF",cv Cabo Verde,36,3.7,6,0,0.0,FW,Forward,PL0359
Mikel Merino,MF,es Spain,29,2.2,5,3,1.36,MF,Midfielder,PL0360
Lionel Messi,FW,ar Argentina,38,8.2,35,18,2.19,FW,Forward,PL0361
Connor Metcalfe,MF,au Australia,26,3.5,5,2,0.57,MF,Midfielder,PL0362
Liam Millar,MF,ca Canada,26,1.8,1,0,0.0,MF,Midfielder,PL0363
Alan Minda,MF,ec Ecuador,23,0.6,2,0,0.0,MF,Midfielder,PL0364
Luka Modri?,MF,hr Croatia,40,3.5,1,0,0.0,MF,Midfielder,PL0365
Relebohile Mofokeng,MF,za South Africa,21,1.9,3,1,0.53,MF,Midfielder,PL0366
Shahriar Moghanlou,FW,ir IR Iran,31,1.0,3,0,0.0,FW,Forward,PL0367
Mohammad Mohebi,MF,ir IR Iran,27,2.7,2,1,0.37,MF,Midfielder,PL0368
Teboho Mokoena,MF,za South Africa,29,3.0,4,2,0.67,MF,Midfielder,PL0369
Jamiro Monteiro,MF,cv Cabo Verde,32,3.1,5,1,0.32,MF,Midfielder,PL0370
Kim Moon-hwan,MF,kr Korea Republic,30,0.8,0,0,0.0,MF,Midfielder,PL0371
Gilberto Mora,MF,mx Mexico,17,2.4,5,0,0.0,MF,Midfielder,PL0372
Diego Moreira,MF,be Belgium,21,0.6,0,0,0.0,MF,Midfielder,PL0373
Tshepang Moremi,MF,za South Africa,25,0.4,0,0,0.0,MF,Midfielder,PL0374
Samir El Mourabet,MF,ma Morocco,20,0.9,0,0,0.0,MF,Midfielder,PL0375
Samuel Moutoussamy,MF,cd Congo DR,29,3.7,3,0,0.0,MF,Midfielder,PL0376
Akmal Mozgovoy,MF,uz Uzbekistan,27,2.4,1,0,0.0,MF,Midfielder,PL0377
Ngal'Ayel Mukau,MF,cd Congo DR,21,2.2,1,0,0.0,MF,Midfielder,PL0378
Petar Musa,FW,hr Croatia,28,1.2,1,1,0.82,FW,Forward,PL0379
Jamal Musiala,MF,de Germany,23,3.0,6,1,0.33,MF,Midfielder,PL0380
Keito Nakamura,MF,jp Japan,25,3.4,5,2,0.59,MF,Midfielder,PL0381
Duckens Nazon,"FW,MF",ht Haiti,32,0.3,1,1,3.75,FW,Forward,PL0382
Iliman Ndiaye,FW,sn Senegal,26,1.3,3,2,1.58,FW,Forward,PL0383
Dan Ndoye,"MF,FW",ch Switzerland,25,4.5,16,8,1.77,MF,Midfielder,PL0384
Pedro Neto,MF,pt Portugal,26,3.9,1,0,0.0,MF,Midfielder,PL0385
João Neves,MF,pt Portugal,21,4.3,3,1,0.23,MF,Midfielder,PL0386
Rúben Neves,MF,pt Portugal,29,0.6,2,0,0.0,MF,Midfielder,PL0387
Neymar,"FW,MF",br Brazil,34,0.4,3,2,4.62,FW,Forward,PL0388
Felix Nmecha,MF,de Germany,25,3.0,8,3,1.0,MF,Midfielder,PL0389
Tyrese Noslin,MF,cw Curaçao,23,0.2,0,0,0.0,MF,Midfielder,PL0390
Ernest Nuamah,MF,gh Ghana,22,1.0,0,0,0.0,MF,Midfielder,PL0391
Darwin Núñez,FW,uy Uruguay,26,1.7,2,0,0.0,FW,Forward,PL0392
Antonio Nusa,FW,no Norway,21,3.5,6,2,0.57,FW,Forward,PL0393
Benjamin Nygren,MF,se Sweden,24,1.4,1,0,0.0,MF,Midfielder,PL0394
Aiden O'Neill,MF,au Australia,27,4.0,2,0,0.0,MF,Midfielder,PL0395
K?ki Ogawa,FW,jp Japan,28,0.5,3,0,0.0,FW,Forward,PL0396
Braian Ojeda,MF,py Paraguay,25,0.2,0,0,0.0,MF,Midfielder,PL0397
Noah Okafor,"FW,MF",ch Switzerland,26,0.2,1,0,0.0,FW,Forward,PL0398
Paul Okon-Engstler,MF,au Australia,21,2.2,0,0,0.0,MF,Midfielder,PL0399
