Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Brenden Aaronson,MF,us USA,25,2000,0.8,0,3,1,33.3,3.55,1.18,0,0,0,0,Matches
2,Thelo Aasgaard,MF,no Norway,24,2002,1,1,2,1,50,2,1,0.5,1,0,0,Matches
3,Hamza Abdelkarim,FW,eg Egypt,18,2008,0.7,0,0,0,,0,0,,,0,0,Matches
4,Hossam Abdelmaguid,DF,eg Egypt,25,2001,0.7,0,0,0,,0,0,,,0,0,Matches
5,Mohamed Abdelmonem,DF,eg Egypt,27,1999,0.2,0,0,0,,0,0,,,0,0,Matches
6,Ali Abdi,DF,tn Tunisia,32,1993,3,0,1,0,0,0.33,0,0,,0,0,Matches
7,Saud Abdulhamid,DF,sa Saudi Arabia,26,1999,3,0,2,0,0,0.67,0,0,,0,0,Matches
8,Abdulla Abdullaev,DF,uz Uzbekistan,28,1997,2,0,0,0,,0,0,,,0,0,Matches
9,Yusuf Abdurisag,FW,qa Qatar,26,1999,1.1,0,0,0,,0,0,,,0,0,Matches
10,Husam Abu Dahab,DF,jo Jordan,26,2000,2,0,0,0,,0,0,,,0,0,Matches
11,Mohammad Abu Hasheesh,DF,jo Jordan,31,1995,0.1,0,0,0,,0,0,,,0,0,Matches
12,Mohannad Abu Taha,DF,jo Jordan,23,2003,2.9,0,1,0,0,0.34,0,0,,0,0,Matches
13,Mo Abualnadi,DF,jo Jordan,25,2001,0.8,0,0,0,,0,0,,,0,0,Matches
14,Yazeed Abulaila,GK,jo Jordan,33,1993,3,0,0,0,,0,0,,,0,0,Matches
15,Mahmoud Abunada,GK,qa Qatar,26,2000,3,0,0,0,,0,0,,,0,0,Matches
16,Elias Achouri,"FW,MF",tn Tunisia,27,1999,0.5,0,3,1,33.3,6.28,2.09,0,0,0,0,Matches
17,Ché Adams,FW,sct Scotland,29,1996,1.6,0,1,1,100,0.62,0.62,0,0,0,0,Matches
18,Jayden Adams,MF,za South Africa,25,2001,1.3,0,0,0,,0,0,,,0,0,Matches
19,Tyler Adams,MF,us USA,27,1999,3.8,0,0,0,,0,0,,,0,0,Matches
20,Ricardo Adé,DF,ht Haiti,36,1990,3,0,4,1,25,1.33,0.33,0,0,0,0,Matches
21,Ibrahim Adel,MF,eg Egypt,25,2001,0,0,0,0,,0,0,,,0,0,Matches
22,Simon Adingra,"FW,MF",ci Côte d'Ivoire,24,2002,0.2,0,0,0,,0,0,,,0,0,Matches
23,Jonas Adjetey,DF,gh Ghana,22,2003,2.5,0,2,1,50,0.8,0.4,0,0,0,0,Matches
24,Michel Aebischer,"MF,FW",ch Switzerland,29,1997,1.7,0,2,1,50,1.15,0.58,0,0,0,0,Matches
25,Akram Afif,"FW,MF",qa Qatar,29,1996,2.6,0,2,0,0,0.76,0,0,,0,0,Matches
26,Emmanuel Agbadou,DF,ci Côte d'Ivoire,28,1997,3,0,3,1,33.3,1,0.33,0,0,0,0,Matches
27,Rodrigo Aguirre,FW,uy Uruguay,31,1994,0,0,0,0,,0,0,,,0,0,Matches
28,Ali Ahmed,MF,ca Canada,25,2000,2.6,0,2,1,50,0.77,0.38,0,0,0,0,Matches
29,Homam Ahmed,DF,qa Qatar,26,1999,1.4,0,1,0,0,0.74,0,0,,0,0,Matches
30,Rayan Aït-Nouri,DF,dz Algeria,25,2001,3.2,0,1,0,0,0.32,0,0,,0,0,Matches
31,Kristoffer Ajer,DF,no Norway,28,1998,5.3,0,2,1,50,0.37,0.19,0,0,0,0,Matches
32,Manuel Akanji,DF,ch Switzerland,30,1995,6.7,0,1,1,100,0.15,0.15,0,0,0,0,Matches
33,Nathan Aké,DF,nl Netherlands,31,1995,1.9,0,1,0,0,0.53,0,0,,0,0,Matches
34,Yunus Akgün,MF,tr Türkiye,25,2000,1,0,0,0,,0,0,,,0,0,Matches
35,Maghnes Akliouche,MF,fr France,24,2002,0.1,0,0,0,,0,0,,,0,0,Matches
36,Kerem Aktürko?lu,FW,tr Türkiye,27,1998,1.4,0,3,1,33.3,2.09,0.7,0,0,0,0,Matches
37,Ahmed Alaaeldin,FW,qa Qatar,33,1993,0.5,0,1,1,100,2.09,2.09,0,0,0,0,Matches
38,David Alaba,DF,at Austria,33,1992,3.1,0,2,0,0,0.65,0,0,,0,0,Matches
39,Kerim Alajbegovi?,MF,ba Bosnia–Herz,18,2007,3.1,1,4,1,25,1.3,0.32,0.25,1,0,0,Matches
40,Jordy Alcivar,MF,ec Ecuador,26,1999,0.5,0,1,0,0,2,0,0,,0,0,Matches
41,Omar Alderete,DF,py Paraguay,29,1996,3.6,0,1,0,0,0.28,0,0,,0,0,Matches
42,Almoez Ali,FW,qa Qatar,29,1996,0.2,0,1,1,100,4.74,4.74,0,0,0,0,Matches
43,Hussein Ali,DF,iq Iraq,24,2002,1.8,0,1,0,0,0.56,0,0,,0,0,Matches
44,Mohanad Ali,FW,iq Iraq,25,2000,0.1,0,0,0,,0,0,,,0,0,Matches
45,Taha Ali,"FW,MF",se Sweden,27,1998,0.4,0,0,0,,0,0,,,0,0,Matches
46,Khojiakbar Alijonov,MF,uz Uzbekistan,29,1997,1.5,0,0,0,,0,0,,,0,0,Matches
47,Ali Alipour,FW,ir IR Iran,30,1995,0.4,0,1,0,0,2.37,0,0,,0,0,Matches
48,Alisson,GK,br Brazil,33,1992,5,0,0,0,,0,0,,,0,0,Matches
49,Thiago Almada,MF,ar Argentina,25,2001,2.7,0,5,2,40,1.87,0.75,0,0,0,0,Matches
50,Miguel Almirón,"MF,FW",py Paraguay,32,1994,3.1,0,4,0,0,1.28,0,0,,0,0,Matches
51,Júnior Alonso,DF,py Paraguay,33,1993,4.3,0,3,1,33.3,0.69,0.23,0,0,0,0,Matches
52,Bar?? Alper Y?lmaz,"MF,FW",tr Türkiye,26,2000,2,1,2,1,50,1.01,0.5,0.5,1,0,0,Matches
53,Roberto Alvarado,"FW,MF",mx Mexico,27,1998,4.8,0,5,0,0,1.05,0,0,,0,0,Matches
54,Edson Álvarez,"MF,DF",mx Mexico,28,1997,2.7,0,2,0,0,0.75,0,0,,0,0,Matches
55,Julián Álvarez,FW,ar Argentina,26,2000,6.7,1,11,5,45.5,1.64,0.75,0.09,0.2,0,0,Matches
56,Ayoube Amaimouni,MF,ma Morocco,21,2004,0.2,0,2,1,50,10,5,0,0,0,0,Matches
57,Zeki Amdouni,"FW,MF",ch Switzerland,25,2000,0.8,0,1,0,0,1.23,0,0,,0,0,Matches
58,Michael Amir Murillo,"DF,MF",pa Panama,30,1996,3,0,5,1,20,1.67,0.33,0,0,0,0,Matches
59,Nadiem Amiri,MF,de Germany,29,1996,0.5,0,2,1,50,4.29,2.14,0,0,0,0,Matches
60,Amir Al Ammari,MF,iq Iraq,28,1997,2.7,0,0,0,,0,0,,,0,0,Matches
61,Azizbek Amonov,FW,uz Uzbekistan,28,1997,0.2,0,1,0,0,6.43,0,0,,0,0,Matches
62,Mohamed Amoura,"FW,MF",dz Algeria,26,2000,0.3,0,0,0,,0,0,,,0,0,Matches
63,Sofyan Amrabat,MF,ma Morocco,29,1996,1.6,0,0,0,,0,0,,,0,0,Matches
64,Abdulelah Al-Amri,DF,sa Saudi Arabia,29,1997,2.7,1,4,2,50,1.51,0.75,0.25,0.5,0,0,Matches
65,Youssef Amyn,MF,iq Iraq,22,2003,0.3,0,0,0,,0,0,,,0,0,Matches
66,Elliot Anderson,MF,eng England,23,2002,7,0,7,1,14.3,1,0.14,0,0,0,0,Matches
67,Andrés Andrade Cedeño,DF,pa Panama,27,1998,3,0,0,0,,0,0,,,0,0,Matches
68,Fredrik André Bjørkan,DF,no Norway,27,1998,0.5,0,0,0,,0,0,,,0,0,Matches
69,Nilson Angulo,MF,ec Ecuador,22,2003,2.4,1,2,2,100,0.83,0.83,0.5,0.5,0,0,Matches
70,Waldemar Anton,"DF,MF",de Germany,29,1996,0.6,0,1,1,100,1.8,1.8,0,0,0,0,Matches
71,Jeremy Antonisse,"FW,MF",cw Curaçao,24,2002,0.8,0,1,0,0,1.2,0,0,,0,0,Matches
72,Houssem Aouar,MF,dz Algeria,27,1998,1.9,0,3,1,33.3,1.56,0.52,0,0,0,0,Matches
73,Oswin Appollis,"MF,FW",za South Africa,24,2001,2.8,0,4,1,25,1.41,0.35,0,0,0,0,Matches
74,Yazan Al-Arab,DF,jo Jordan,30,1996,3,0,0,0,,0,0,,,0,0,Matches
75,Maxi Araújo,"FW,MF",uy Uruguay,26,2000,2.8,2,4,3,75,1.44,1.08,0.5,0.67,0,0,Matches
76,Tomás Araújo,DF,pt Portugal,24,2002,1,0,0,0,,0,0,,,0,0,Matches
77,Telmo Arcanjo,MF,cv Cabo Verde,24,2001,0.6,0,0,0,,0,0,,,0,0,Matches
78,Álex Arce,FW,py Paraguay,30,1995,0.6,0,0,0,,0,0,,,0,0,Matches
79,Carlens Arcus,"MF,DF",ht Haiti,29,1996,1.6,0,0,0,,0,0,,,0,0,Matches
80,Max Arfsten,MF,us USA,25,2001,0,0,0,0,,0,0,,,0,0,Matches
81,Jhon Arias,MF,co Colombia,28,1997,4.2,1,9,4,44.4,2.15,0.95,0.11,0.25,0,0,Matches
82,Santiago Arias,DF,co Colombia,34,1992,1,0,0,0,,0,0,,,0,0,Matches
83,Marko Arnautovi?,FW,at Austria,37,1989,1.6,2,3,3,100,1.87,1.87,0.67,0.67,1,1,Matches
84,Benjamin Asare,GK,gh Ghana,33,1992,2.5,0,0,0,,0,0,,,0,0,Matches
85,Emam Ashour,MF,eg Egypt,28,1998,4,2,10,2,20,2.49,0.5,0.2,1,0,0,Matches
