MatchID,Date,Match,Team,Opponent,Goals_For,Goals_Against,Result,Ball_Possession_pct
38,2026-06-21,Belgium vs IR Iran,IR Iran,Belgium,0,0,Draw,30
39,2026-06-21,Uruguay vs Cabo Verde,Uruguay,Cabo Verde,2,2,Draw,65
39,2026-06-21,Uruguay vs Cabo Verde,Cabo Verde,Uruguay,2,2,Draw,35
40,2026-06-21,New Zealand vs Egypt,New Zealand,Egypt,1,3,Loss,44
40,2026-06-21,New Zealand vs Egypt,Egypt,New Zealand,3,1,Win,56
41,2026-06-22,Argentina vs Austria,Argentina,Austria,2,0,Win,54
41,2026-06-22,Argentina vs Austria,Austria,Argentina,0,2,Loss,46
42,2026-06-22,France vs Iraq,France,Iraq,3,0,Win,56
42,2026-06-22,France vs Iraq,Iraq,France,0,3,Loss,45
43,2026-06-22,Norway vs Senegal,Norway,Senegal,3,2,Win,42
43,2026-06-22,Norway vs Senegal,Senegal,Norway,2,3,Loss,58
44,2026-06-22,Jordan vs Algeria,Jordan,Algeria,1,2,Loss,28
44,2026-06-22,Jordan vs Algeria,Algeria,Jordan,2,1,Win,72
45,2026-06-23,Portugal vs Uzbekistan,Portugal,Uzbekistan,5,0,Win,66
45,2026-06-23,Portugal vs Uzbekistan,Uzbekistan,Portugal,0,5,Loss,34
46,2026-06-23,England  vs Ghana,England ,Ghana,0,0,Draw,79
46,2026-06-23,England  vs Ghana,Ghana,England ,0,0,Draw,21
47,2026-06-23,Panama vs Croatia,Panama,Croatia,0,1,Loss,42
47,2026-06-23,Panama vs Croatia,Croatia,Panama,1,0,Win,58
48,2026-06-23,Colombia vs Congo DR,Colombia,Congo DR,1,0,Win,64
48,2026-06-23,Colombia vs Congo DR,Congo DR,Colombia,0,1,Loss,37
49,2026-06-24,Switzerland vs Canada,Switzerland,Canada,2,1,Win,55
49,2026-06-24,Switzerland vs Canada,Canada,Switzerland,1,2,Loss,45
50,2026-06-24,Bosnia–Herz vs Qatar,Bosnia–Herz,Qatar,3,1,Win,55
50,2026-06-24,Bosnia–Herz vs Qatar,Qatar,Bosnia–Herz,1,3,Loss,46
51,2026-06-24,Scotland  vs Brazil,Scotland ,Brazil,0,3,Loss,46
51,2026-06-24,Scotland  vs Brazil,Brazil,Scotland ,3,0,Win,54
52,2026-06-24,Morocco vs Haiti,Morocco,Haiti,4,2,Win,69
52,2026-06-24,Morocco vs Haiti,Haiti,Morocco,2,4,Loss,31
53,2026-06-24,South Africa vs Korea Republic,South Africa,Korea Republic,1,0,Win,32
53,2026-06-24,South Africa vs Korea Republic,Korea Republic,South Africa,0,1,Loss,69
54,2026-06-24,Czechia vs Mexico,Czechia,Mexico,0,3,Loss,52
54,2026-06-24,Czechia vs Mexico,Mexico,Czechia,3,0,Win,48
55,2026-06-25,Curaçao vs Côte d'Ivoire,Curaçao,Côte d'Ivoire,0,2,Loss,37
55,2026-06-25,Curaçao vs Côte d'Ivoire,Côte d'Ivoire,Curaçao,2,0,Win,63
56,2026-06-25,Ecuador vs Germany,Ecuador,Germany,2,1,Win,39
56,2026-06-25,Ecuador vs Germany,Germany,Ecuador,1,2,Loss,61
57,2026-06-25,Tunisia vs Netherlands,Tunisia,Netherlands,1,3,Loss,29
57,2026-06-25,Tunisia vs Netherlands,Netherlands,Tunisia,3,1,Win,72
58,2026-06-25,Japan vs Sweden,Japan,Sweden,1,1,Draw,52
58,2026-06-25,Japan vs Sweden,Sweden,Japan,1,1,Draw,48
59,2026-06-25,Türkiye vs USA,Türkiye,USA,3,2,Win,48
59,2026-06-25,Türkiye vs USA,USA,Türkiye,2,3,Loss,53
60,2026-06-25,Paraguay vs Australia,Paraguay,Australia,0,0,Draw,44
60,2026-06-25,Paraguay vs Australia,Australia,Paraguay,0,0,Draw,56
61,2026-06-26,Norway vs France,Norway,France,1,4,Loss,43
61,2026-06-26,Norway vs France,France,Norway,4,1,Win,57
62,2026-06-26,Senegal vs Iraq,Senegal,Iraq,5,0,Win,69
62,2026-06-26,Senegal vs Iraq,Iraq,Senegal,0,5,Loss,31
63,2026-06-26,Uruguay vs Spain,Uruguay,Spain,0,1,Loss,33
63,2026-06-26,Uruguay vs Spain,Spain,Uruguay,1,0,Win,67
64,2026-06-26,Cabo Verde vs Saudi Arabia,Cabo Verde,Saudi Arabia,0,0,Draw,51
64,2026-06-26,Cabo Verde vs Saudi Arabia,Saudi Arabia,Cabo Verde,0,0,Draw,49
65,2026-06-26,Egypt vs IR Iran,Egypt,IR Iran,1,1,Draw,61
65,2026-06-26,Egypt vs IR Iran,IR Iran,Egypt,1,1,Draw,39
66,2026-06-26,New Zealand vs Belgium,New Zealand,Belgium,1,5,Loss,45
66,2026-06-26,New Zealand vs Belgium,Belgium,New Zealand,5,1,Win,55
67,2026-06-27,Croatia vs Ghana,Croatia,Ghana,2,1,Win,53
67,2026-06-27,Croatia vs Ghana,Ghana,Croatia,1,2,Loss,47
68,2026-06-27,Panama vs  England,Panama,England,0,2,Loss,33
68,2026-06-27,Panama vs  England,England,Panama,2,0,Win,67
69,2026-06-27,Congo DR vs Uzbekistan,Congo DR,Uzbekistan,3,1,Win,58
69,2026-06-27,Congo DR vs Uzbekistan,Uzbekistan,Congo DR,1,3,Loss,42
70,2026-06-27,Colombia vs Portugal,Colombia,Portugal,0,0,Draw,55
70,2026-06-27,Colombia vs Portugal,Portugal,Colombia,0,0,Draw,45
71,2026-06-27,Jordan vs Argentina,Jordan,Argentina,1,3,Loss,27
71,2026-06-27,Jordan vs Argentina,Argentina,Jordan,3,1,Win,73
72,2026-06-27,Algeria vs Austria,Algeria,Austria,3,3,Draw,65
72,2026-06-27,Algeria vs Austria,Austria,Algeria,3,3,Draw,35
73,2026-06-28,South Africa vs Canada,South Africa,Canada,0,1,Loss,58
73,2026-06-28,South Africa vs Canada,Canada,South Africa,1,0,Win,42
74,2026-06-29,Brazil vs Japan,Brazil,Japan,2,1,Win,69
74,2026-06-29,Brazil vs Japan,Japan,Brazil,1,2,Loss,31
75,2026-06-29,Germany vs Paraguay,Germany,Paraguay,1,1,Draw,75
75,2026-06-29,Germany vs Paraguay,Paraguay,Germany,1,1,Draw,25
76,2026-06-29,Netherlands vs Morocco,Netherlands,Morocco,1,1,Draw,30
76,2026-06-29,Netherlands vs Morocco,Morocco,Netherlands,1,1,Draw,70
77,2026-06-30,Côte d'Ivoire vs Norway,Côte d'Ivoire,Norway,1,2,Loss,47
77,2026-06-30,Côte d'Ivoire vs Norway,Norway,Côte d'Ivoire,2,1,Win,53
78,2026-06-30,France vs Sweden,France,Sweden,3,0,Win,61
78,2026-06-30,France vs Sweden,Sweden,France,0,3,Loss,39
79,2026-06-30,Mexico vs Ecuador,Mexico,Ecuador,2,0,Win,43
79,2026-06-30,Mexico vs Ecuador,Ecuador,Mexico,0,2,Loss,57
80,2026-07-01,England  vs Congo DR,England ,Congo DR,2,1,Win,60
80,2026-07-01,England  vs Congo DR,Congo DR,England ,1,2,Loss,40
81,2026-07-01,Belgium vs Senegal,Belgium,Senegal,3,2,Win,52
81,2026-07-01,Belgium vs Senegal,Senegal,Belgium,2,3,Loss,48
82,2026-07-01,USA vs Bosnia–Herz,USA,Bosnia–Herz,2,0,Win,48
82,2026-07-01,USA vs Bosnia–Herz,Bosnia–Herz,USA,0,2,Loss,52
83,2026-07-02,Spain vs Austria,Spain,Austria,3,0,Win,65
83,2026-07-02,Spain vs Austria,Austria,Spain,0,3,Loss,36
84,2026-07-02,Portugal vs Croatia,Portugal,Croatia,2,1,Win,61
84,2026-07-02,Portugal vs Croatia,Croatia,Portugal,1,2,Loss,40
85,2026-07-02,Switzerland vs Algeria,Switzerland,Algeria,2,0,Win,45
85,2026-07-02,Switzerland vs Algeria,Algeria,Switzerland,0,2,Loss,55
86,2026-07-03,Australia vs Egypt,Australia,Egypt,1,1,Draw,42
86,2026-07-03,Australia vs Egypt,Egypt,Australia,1,1,Draw,58
87,2026-07-03,Argentina vs Cabo Verde,Argentina,Cabo Verde,3,2,Win,64
87,2026-07-03,Argentina vs Cabo Verde,Cabo Verde,Argentina,2,3,Loss,37
88,2026-07-03,Colombia vs Ghana,Colombia,Ghana,1,0,Win,61
88,2026-07-03,Colombia vs Ghana,Ghana,Colombia,0,1,Loss,39
89,2026-07-04,Canada vs Morocco,Canada,Morocco,0,3,Loss,45
89,2026-07-04,Canada vs Morocco,Morocco,Canada,3,0,Win,55
90,2026-07-04,Paraguay vs France,Paraguay,France,0,1,Loss,24
90,2026-07-04,Paraguay vs France,France,Paraguay,1,0,Win,76
91,2026-07-05,Brazil vs Norway,Brazil,Norway,1,2,Loss,34
91,2026-07-05,Brazil vs Norway,Norway,Brazil,2,1,Win,66
92,2026-07-05,Mexico vs  England,Mexico,England,2,3,Loss,67
92,2026-07-05,Mexico vs  England,England,Mexico,3,2,Win,33
93,2026-07-06,Portugal vs Spain,Portugal,Spain,0,1,Loss,45
93,2026-07-06,Portugal vs Spain,Spain,Portugal,1,0,Win,56
94,2026-07-06,USA vs Belgium,USA,Belgium,1,4,Loss,56
94,2026-07-06,USA vs Belgium,Belgium,USA,4,1,Win,44
95,2026-07-07,Argentina vs Egypt,Argentina,Egypt,3,2,Win,64
95,2026-07-07,Argentina vs Egypt,Egypt,Argentina,2,3,Loss,36
96,2026-07-07,Switzerland vs Colombia,Switzerland,Colombia,0,0,Draw,53
96,2026-07-07,Switzerland vs Colombia,Colombia,Switzerland,0,0,Draw,47
97,2026-07-09,France vs Morocco,France,Morocco,2,0,Win,48
97,2026-07-09,France vs Morocco,Morocco,France,0,2,Loss,52
98,2026-07-10,Spain vs Belgium,Spain,Belgium,2,1,Win,68
98,2026-07-10,Spain vs Belgium,Belgium,Spain,1,2,Loss,32
99,2026-07-11,Norway vs  England,Norway,England,1,2,Loss,48
99,2026-07-11,Norway vs  England,England,Norway,2,1,Win,52
100,2026-07-11,Argentina vs Switzerland,Argentina,Switzerland,3,1,Win,59
100,2026-07-11,Argentina vs Switzerland,Switzerland,Argentina,1,3,Loss,41
101,2026-07-14,France vs Spain,France,Spain,0,2,Loss,49
101,2026-07-14,France vs Spain,Spain,France,2,0,Win,51
102,2026-07-15,England  vs Argentina,England ,Argentina,1,2,Loss,36
102,2026-07-15,England  vs Argentina,Argentina,England ,2,1,Win,64
103,2026-07-18,France vs  England,France,England,4,6,Loss,46
103,2026-07-18,France vs  England,England,France,6,4,Win,54
104,2026-07-19,Spain vs Argentina,Spain,Argentina,1,0,Win,65
104,2026-07-19,Spain vs Argentina,Argentina,Spain,0,1,Loss,35
