Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID,IQR_Lower_Bound,IQR_Upper_Bound,Potential_Outlier
Oswin Appollis,"MF,FW",za South Africa,24,2.8,4,1,0.35,MF,Midfielder,PL0042,-0.96,1.6,False
Maxi Araújo,"FW,MF",uy Uruguay,26,2.8,4,3,1.08,FW,Forward,PL0043,-1.8824999999999998,3.1374999999999997,False
Telmo Arcanjo,MF,cv Cabo Verde,24,0.6,0,0,0.0,MF,Midfielder,PL0044,-0.96,1.6,False
Álex Arce,FW,py Paraguay,30,0.6,0,0,0.0,FW,Forward,PL0045,-1.8824999999999998,3.1374999999999997,False
Carlens Arcus,"MF,DF",ht Haiti,29,1.6,0,0,0.0,MF,Midfielder,PL0046,-0.96,1.6,False
Jhon Arias,MF,co Colombia,28,4.2,9,4,0.95,MF,Midfielder,PL0047,-0.96,1.6,False
Marko Arnautovi?,FW,at Austria,37,1.6,3,3,1.87,FW,Forward,PL0048,-1.8824999999999998,3.1374999999999997,False
Emam Ashour,MF,eg Egypt,28,4.0,10,2,0.5,MF,Midfielder,PL0049,-0.96,1.6,False
Marwan Attia,MF,eg Egypt,27,4.8,4,0,0.0,MF,Midfielder,PL0050,-0.96,1.6,False
Fredrik Aursnes,"MF,DF",no Norway,30,3.4,2,0,0.0,MF,Midfielder,PL0051,-0.96,1.6,False
Gabriel Ávalos,FW,py Paraguay,35,1.6,1,0,0.0,FW,Forward,PL0052,-1.8824999999999998,3.1374999999999997,False
Yasin Ayari,MF,se Sweden,22,3.8,7,3,0.8,MF,Midfielder,PL0053,-0.96,1.6,False
Jordan Ayew,FW,gh Ghana,34,3.3,0,0,0.0,FW,Forward,PL0054,-1.8824999999999998,3.1374999999999997,False
Neil El Aynaoui,MF,ma Morocco,24,6.2,7,2,0.32,MF,Midfielder,PL0055,-0.96,1.6,False
Ali Azaizeh,MF,jo Jordan,22,0.6,2,0,0.0,MF,Midfielder,PL0056,-0.96,1.6,False
Juninho Bacuna,MF,cw Curaçao,28,2.8,5,1,0.35,MF,Midfielder,PL0057,-0.96,1.6,False
Leandro Bacuna,MF,cw Curaçao,34,3.0,6,1,0.33,MF,Midfielder,PL0058,-0.96,1.6,False
Álex Baena,"MF,FW",es Spain,24,5.3,12,5,0.94,MF,Midfielder,PL0059,-0.96,1.6,False
Esmir Bajraktarevic,MF,ba Bosnia–Herz,21,2.6,3,2,0.78,MF,Midfielder,PL0060,-0.96,1.6,False
Cédric Bakambu,FW,cd Congo DR,35,2.1,3,0,0.0,FW,Forward,PL0061,-1.8824999999999998,3.1374999999999997,False
Folarin Balogun,FW,us USA,24,3.5,14,5,1.44,FW,Forward,PL0062,-1.8824999999999998,3.1374999999999997,False
Simon Banza,"FW,MF",cd Congo DR,29,0.4,0,0,0.0,FW,Forward,PL0063,-1.8824999999999998,3.1374999999999997,False
Yoel Bárcenas,MF,pa Panama,32,2.8,2,0,0.0,MF,Midfielder,PL0064,-0.96,1.6,False
Bradley Barcola,MF,fr France,23,4.3,10,5,1.17,MF,Midfielder,PL0065,-0.96,1.6,False
Ivan Baši?,MF,ba Bosnia–Herz,24,2.0,4,0,0.0,MF,Midfielder,PL0066,-0.96,1.6,False
Martin Baturina,"MF,FW",hr Croatia,23,3.6,3,1,0.28,MF,Midfielder,PL0067,-0.96,1.6,False
Ibrahim Bayesh,"MF,FW",iq Iraq,26,2.6,1,0,0.0,MF,Midfielder,PL0068,-0.96,1.6,False
Samed Baždar,FW,ba Bosnia–Herz,22,0.3,0,0,0.0,FW,Forward,PL0069,-1.8824999999999998,3.1374999999999997,False
Aziz Behich,MF,au Australia,35,2.4,1,1,0.41,MF,Midfielder,PL0070,-0.96,1.6,False
Maximilian Beier,"FW,MF",de Germany,23,0.3,0,0,0.0,FW,Forward,PL0071,-1.8824999999999998,3.1374999999999997,False
Joe Bell,MF,nz New Zealand,27,2.7,1,0,0.0,MF,Midfielder,PL0072,-0.96,1.6,False
Jean-Ricner Bellegarde,MF,ht Haiti,27,2.9,6,0,0.0,MF,Midfielder,PL0073,-0.96,1.6,False
Jude Bellingham,MF,eng England,22,6.8,19,13,1.91,MF,Midfielder,PL0074,-0.96,1.6,True
Anis Ben Slimane,"MF,FW",tn Tunisia,25,2.7,1,1,0.37,MF,Midfielder,PL0075,-0.96,1.6,False
Nadhir Benbouali,FW,dz Algeria,26,0.5,2,2,4.0,FW,Forward,PL0076,-1.8824999999999998,3.1374999999999997,True
Gilson Benchimol,FW,cv Cabo Verde,24,0.9,0,0,0.0,FW,Forward,PL0077,-1.8824999999999998,3.1374999999999997,False
Nabil Bentaleb,MF,dz Algeria,31,3.2,1,0,0.0,MF,Midfielder,PL0078,-0.96,1.6,False
Rodrigo Bentancur,MF,uy Uruguay,28,3.0,4,0,0.0,MF,Midfielder,PL0079,-0.96,1.6,False
Patrick Berg,MF,no Norway,28,4.9,3,0,0.0,MF,Midfielder,PL0080,-0.96,1.6,False
Sander Berge,MF,no Norway,28,5.3,0,0,0.0,MF,Midfielder,PL0081,-0.96,1.6,False
Lucas Bergvall,MF,se Sweden,20,2.0,2,0,0.0,MF,Midfielder,PL0082,-0.96,1.6,False
Sebastian Berhalter,MF,us USA,25,2.1,3,1,0.48,MF,Midfielder,PL0083,-0.96,1.6,False
Alexander Bernhardsson,MF,se Sweden,27,2.4,1,1,0.41,MF,Midfielder,PL0084,-0.96,1.6,False
César Blackman,"MF,DF",pa Panama,28,2.0,2,1,0.51,MF,Midfielder,PL0085,-0.96,1.6,False
Damián Bobadilla,MF,py Paraguay,24,2.1,0,0,0.0,MF,Midfielder,PL0086,-0.96,1.6,False
Oscar Bobb,FW,no Norway,22,2.5,4,2,0.8,FW,Forward,PL0087,-1.8824999999999998,3.1374999999999997,False
Theo Bongonda,"FW,MF",cd Congo DR,30,0.4,1,0,0.0,FW,Forward,PL0088,-1.8824999999999998,3.1374999999999997,False
Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,2.6,1,1,0.38,FW,Forward,PL0089,-1.8824999999999998,3.1374999999999997,False
Jordy Bos,"MF,DF",au Australia,23,3.4,5,2,0.58,MF,Midfielder,PL0090,-0.96,1.6,False
Ayyoub Bouaddi,MF,ma Morocco,18,4.2,3,0,0.0,MF,Midfielder,PL0091,-0.96,1.6,False
Hicham Boudaoui,MF,dz Algeria,26,1.4,0,0,0.0,MF,Midfielder,PL0092,-0.96,1.6,False
Karim Boudiaf,MF,qa Qatar,35,1.1,1,0,0.0,MF,Midfielder,PL0093,-0.96,1.6,False
Adil Boulbina,FW,dz Algeria,23,0.2,0,0,0.0,FW,Forward,PL0094,-1.8824999999999998,3.1374999999999997,False
Brian Brobbey,FW,nl Netherlands,24,2.5,4,3,1.21,FW,Forward,PL0095,-1.8824999999999998,3.1374999999999997,False
Tajon Buchanan,MF,ca Canada,27,4.2,6,3,0.72,MF,Midfielder,PL0096,-0.96,1.6,False
Ante Budimir,FW,hr Croatia,34,1.7,3,1,0.58,FW,Forward,PL0097,-1.8824999999999998,3.1374999999999997,False
Firas Al-Buraikan,FW,sa Saudi Arabia,26,2.6,0,0,0.0,FW,Forward,PL0098,-1.8824999999999998,3.1374999999999997,False
Dženis Burni?,MF,ba Bosnia–Herz,28,0.2,1,0,0.0,MF,Midfielder,PL0099,-0.96,1.6,False
Gustavo Caballero,"FW,MF",py Paraguay,24,1.1,1,1,0.94,FW,Forward,PL0100,-1.8824999999999998,3.1374999999999997,False
Jovane Cabral,FW,cv Cabo Verde,28,1.5,2,0,0.0,FW,Forward,PL0101,-1.8824999999999998,3.1374999999999997,False
Jordy Caicedo,FW,ec Ecuador,28,0.2,1,0,0.0,FW,Forward,PL0102,-1.8824999999999998,3.1374999999999997,False
Moisés Caicedo,MF,ec Ecuador,24,4.0,4,1,0.25,MF,Midfielder,PL0103,-0.96,1.6,False
Hakan Çalhano?lu,MF,tr Türkiye,32,2.0,11,2,1.0,MF,Midfielder,PL0104,-0.96,1.6,False
Lamine Camara,MF,sn Senegal,22,2.8,3,0,0.0,MF,Midfielder,PL0105,-0.96,1.6,False
Jaminton Campaz,"FW,MF",co Colombia,26,0.8,6,3,3.6,FW,Forward,PL0106,-1.8824999999999998,3.1374999999999997,True
Agustín Canobbio,FW,uy Uruguay,27,2.5,4,1,0.4,FW,Forward,PL0107,-1.8824999999999998,3.1374999999999997,False
Casemiro,MF,br Brazil,34,4.2,4,2,0.47,MF,Midfielder,PL0108,-0.96,1.6,False
Josué Casimir,MF,ht Haiti,24,2.0,1,0,0.0,MF,Midfielder,PL0109,-0.96,1.6,False
Kevin Castaño,MF,co Colombia,25,0.2,0,0,0.0,MF,Midfielder,PL0110,-0.96,1.6,False
Jens Castrop,MF,kr Korea Republic,22,0.5,0,0,0.0,MF,Midfielder,PL0111,-0.96,1.6,False
Lukáš ?erv,MF,cz Czechia,25,1.8,3,2,1.1,MF,Midfielder,PL0112,-0.96,1.6,False
Fares Chaïbi,MF,dz Algeria,23,4.0,9,3,0.75,MF,Midfielder,PL0113,-0.96,1.6,False
Firas Chaouat,FW,tn Tunisia,30,0.5,0,0,0.0,FW,Forward,PL0114,-1.8824999999999998,3.1374999999999997,False
Luis Chávez,MF,mx Mexico,30,0.3,0,0,0.0,MF,Midfielder,PL0115,-0.96,1.6,False
Rayan Cherki,MF,fr France,22,1.4,1,1,0.69,MF,Midfielder,PL0116,-0.96,1.6,False
Mathieu Choinière,MF,ca Canada,27,0.6,0,0,0.0,MF,Midfielder,PL0117,-0.96,1.6,False
Tahith Chong,MF,cw Curaçao,26,2.7,4,2,0.73,MF,Midfielder,PL0118,-0.96,1.6,False
Tomáš Chorý,FW,cz Czechia,31,0.3,0,0,0.0,FW,Forward,PL0119,-1.8824999999999998,3.1374999999999997,False
Ryan Christie,MF,sct Scotland,31,1.1,2,0,0.0,MF,Midfielder,PL0120,-0.96,1.6,False
Carney Chukwuemeka,MF,at Austria,22,0.9,2,1,1.08,MF,Midfielder,PL0121,-0.96,1.6,False
Mojmír Chytil,FW,cz Czechia,27,0.1,0,0,0.0,FW,Forward,PL0122,-1.8824999999999998,3.1374999999999997,False
Brian Cipenga,"MF,FW",cd Congo DR,28,1.6,6,1,0.62,MF,Midfielder,PL0123,-0.96,1.6,False
Livano Comenencia,MF,cw Curaçao,22,2.6,5,2,0.77,MF,Midfielder,PL0124,-0.96,1.6,False
Francisco Conceição,MF,pt Portugal,23,1.4,2,0,0.0,MF,Midfielder,PL0125,-0.96,1.6,False
Jhon Córdoba,FW,co Colombia,33,1.1,2,1,0.91,FW,Forward,PL0126,-1.8824999999999998,3.1374999999999997,False
Nuno da Costa,FW,cv Cabo Verde,35,1.8,1,0,0.0,FW,Forward,PL0127,-1.8824999999999998,3.1374999999999997,False
Samu Costa,MF,pt Portugal,25,0.2,0,0,0.0,MF,Midfielder,PL0128,-0.96,1.6,False
Vladimír Coufal,"MF,DF",cz Czechia,33,3.0,1,0,0.0,MF,Midfielder,PL0129,-0.96,1.6,False
Andrés Cubas,MF,py Paraguay,30,5.3,1,0,0.0,MF,Midfielder,PL0130,-0.96,1.6,False
Cucho,"FW,MF",co Colombia,27,0.6,1,0,0.0,FW,Forward,PL0131,-1.8824999999999998,3.1374999999999997,False
Matheus Cunha,FW,br Brazil,27,3.2,11,5,1.55,FW,Forward,PL0132,-1.8824999999999998,3.1374999999999997,False
Findlay Curtis,MF,sct Scotland,19,0.1,0,0,0.0,MF,Midfielder,PL0133,-0.96,1.6,False
Vladimír Darida,MF,cz Czechia,35,0.6,1,0,0.0,MF,Midfielder,PL0134,-0.96,1.6,False
Jonathan David,FW,ca Canada,26,4.7,18,8,1.71,FW,Forward,PL0135,-1.8824999999999998,3.1374999999999997,False
Promise David,FW,ca Canada,24,0.9,5,3,3.38,FW,Forward,PL0136,-1.8824999999999998,3.1374999999999997,True
Nasser Al-Dawsari,MF,sa Saudi Arabia,27,2.3,1,0,0.0,MF,Midfielder,PL0137,-0.96,1.6,False
Salem Al-Dawsari,MF,sa Saudi Arabia,34,2.7,3,0,0.0,MF,Midfielder,PL0138,-0.96,1.6,False
Kevin De Bruyne,MF,be Belgium,34,4.2,20,5,1.18,MF,Midfielder,PL0139,-0.96,1.6,False
Charles De Ketelaere,"FW,MF",be Belgium,25,3.9,6,5,1.29,FW,Forward,PL0140,-1.8824999999999998,3.1374999999999997,False
Nicolás De La Cruz,MF,uy Uruguay,29,1.0,4,2,2.09,MF,Midfielder,PL0141,-0.96,1.6,True
Rodrigo De Paul,MF,ar Argentina,32,5.5,2,1,0.18,MF,Midfielder,PL0142,-0.96,1.6,False
Louicius Deedson,MF,ht Haiti,25,1.2,2,0,0.0,MF,Midfielder,PL0143,-0.96,1.6,False
Ousmane Dembélé,MF,fr France,29,6.6,20,10,1.52,MF,Midfielder,PL0144,-0.96,1.6,False
Ermedin Demirovi?,FW,ba Bosnia–Herz,28,3.9,4,4,1.02,FW,Forward,PL0145,-1.8824999999999998,3.1374999999999997,False
Sergiño Dest,MF,us USA,25,3.3,3,1,0.3,MF,Midfielder,PL0146,-0.96,1.6,False
Oumar Diakité,FW,ci Côte d'Ivoire,22,0.3,0,0,0.0,FW,Forward,PL0147,-1.8824999999999998,3.1374999999999997,False
Amad Diallo,"MF,FW",ci Côte d'Ivoire,23,2.1,8,4,1.95,MF,Midfielder,PL0148,-0.96,1.6,True
Assane Diao,MF,sn Senegal,20,0.1,0,0,0.0,MF,Midfielder,PL0149,-0.96,1.6,False
Habib Diarra,MF,sn Senegal,22,1.6,4,2,1.26,MF,Midfielder,PL0150,-0.96,1.6,False
Brahim Díaz,MF,ma Morocco,26,5.1,6,1,0.2,MF,Midfielder,PL0151,-0.96,1.6,False
Ismael Díaz,"FW,MF",pa Panama,29,0.4,6,2,4.86,FW,Forward,PL0152,-1.8824999999999998,3.1374999999999997,True
Luis Díaz,"FW,MF",co Colombia,29,5.3,19,6,1.13,FW,Forward,PL0153,-1.8824999999999998,3.1374999999999997,False
Bamba Dieng,FW,sn Senegal,26,0.1,0,0,0.0,FW,Forward,PL0154,-1.8824999999999998,3.1374999999999997,False
Yan Diomandé,"MF,FW",ci Côte d'Ivoire,19,3.7,4,0,0.0,MF,Midfielder,PL0155,-0.96,1.6,False
Ritsu Doan,MF,jp Japan,27,3.1,1,0,0.0,MF,Midfielder,PL0156,-0.96,1.6,False
Jeremy Doku,MF,be Belgium,24,3.4,3,1,0.29,MF,Midfielder,PL0157,-0.96,1.6,False
David Doud?ra,MF,cz Czechia,28,1.0,4,0,0.0,MF,Midfielder,PL0158,-0.96,1.6,False
Désiré Doué,MF,fr France,21,4.4,13,8,1.8,MF,Midfielder,PL0159,-0.96,1.6,True
Deroy Duarte,MF,cv Cabo Verde,26,2.9,3,2,0.68,MF,Midfielder,PL0160,-0.96,1.6,False
Laros Duarte,MF,cv Cabo Verde,29,1.8,3,3,1.63,MF,Midfielder,PL0161,-0.96,1.6,True
Lyndon Dykes,"FW,MF",sct Scotland,30,0.4,1,0,0.0,FW,Forward,PL0162,-1.8824999999999998,3.1374999999999997,False
Edin Džeko,FW,ba Bosnia–Herz,40,2.0,3,0,0.0,FW,Forward,PL0163,-1.8824999999999998,3.1374999999999997,False
Anthony Elanga,"MF,FW",se Sweden,24,2.4,3,3,1.24,MF,Midfielder,PL0164,-0.96,1.6,False
Meschak Elia,"FW,MF",cd Congo DR,28,0.5,2,1,1.96,FW,Forward,PL0165,-1.8824999999999998,3.1374999999999997,False
Breel Embolo,FW,ch Switzerland,29,5.6,10,5,0.9,FW,Forward,PL0166,-1.8824999999999998,3.1374999999999997,False
Julio Enciso,FW,py Paraguay,22,4.3,8,1,0.23,FW,Forward,PL0167,-1.8824999999999998,3.1374999999999997,False
Endrick,FW,br Brazil,19,1.3,3,0,0.0,FW,Forward,PL0168,-1.8824999999999998,3.1374999999999997,False
Pervis Estupiñán,MF,ec Ecuador,28,1.0,0,0,0.0,MF,Midfielder,PL0169,-0.96,1.6,False
Derrick Etienne,"FW,MF",ht Haiti,29,0.1,0,0,0.0,FW,Forward,PL0170,-1.8824999999999998,3.1374999999999997,False
Stephen Eustáquio,MF,ca Canada,29,4.4,4,1,0.23,MF,Midfielder,PL0171,-0.96,1.6,False
Saeid Ezatolahi,MF,ir IR Iran,29,2.9,6,2,0.68,MF,Midfielder,PL0172,-0.96,1.6,False
Eberechi Eze,MF,eng England,27,2.3,5,0,0.0,MF,Midfielder,PL0173,-0.96,1.6,False
José Fajardo,FW,pa Panama,32,1.7,1,0,0.0,FW,Forward,PL0174,-1.8824999999999998,3.1374999999999997,False
Odeh Al-Fakhouri,"MF,FW",jo Jordan,20,1.6,2,1,0.61,MF,Midfielder,PL0175,-0.96,1.6,False
Marko Farji,MF,iq Iraq,22,0.6,0,0,0.0,MF,Midfielder,PL0176,-0.96,1.6,False
Christian Fassnacht,"FW,MF",ch Switzerland,32,0.1,0,0,0.0,FW,Forward,PL0177,-1.8824999999999998,3.1374999999999997,False
Abdul Fatawu Issahaku,"FW,MF",gh Ghana,22,1.5,3,0,0.0,FW,Forward,PL0178,-1.8824999999999998,3.1374999999999997,False
Ahmed Fathy,MF,qa Qatar,33,1.7,0,0,0.0,MF,Midfielder,PL0179,-0.96,1.6,False
Abbosbek Fayzullayev,MF,uz Uzbekistan,22,2.4,3,2,0.82,MF,Midfielder,PL0180,-0.96,1.6,False
João Félix,MF,pt Portugal,26,2.2,6,1,0.45,MF,Midfielder,PL0181,-0.96,1.6,False
Lewis Ferguson,MF,sct Scotland,26,3.0,2,1,0.33,MF,Midfielder,PL0182,-0.96,1.6,False
Bruno Fernandes,MF,pt Portugal,31,4.7,9,3,0.64,MF,Midfielder,PL0183,-0.96,1.6,False
Enzo Fernández,MF,ar Argentina,25,7.3,12,4,0.55,MF,Midfielder,PL0184,-0.96,1.6,False
Matias Fernandez-Pardo,"FW,MF",be Belgium,21,0.5,3,0,0.0,FW,Forward,PL0185,-1.8824999999999998,3.1374999999999997,False
Álvaro Fidalgo,MF,mx Mexico,29,1.1,3,2,1.87,MF,Midfielder,PL0186,-0.96,1.6,True
Seko Fofana,MF,ci Côte d'Ivoire,31,1.0,5,1,0.98,MF,Midfielder,PL0187,-0.96,1.6,False
Yassin Fortuné,"FW,MF",ht Haiti,27,0.1,0,0,0.0,FW,Forward,PL0188,-1.8824999999999998,3.1374999999999997,False
Lyle Foster,FW,za South Africa,25,0.6,1,0,0.0,FW,Forward,PL0189,-1.8824999999999998,3.1374999999999997,False
Remo Freuler,MF,ch Switzerland,34,6.6,2,1,0.15,MF,Midfielder,PL0190,-0.96,1.6,False
Jassem Gaber,MF,qa Qatar,24,1.7,0,0,0.0,MF,Midfielder,PL0191,-0.96,1.6,False
Cody Gakpo,FW,nl Netherlands,27,4.1,10,6,1.47,FW,Forward,PL0192,-1.8824999999999998,3.1374999999999997,False
Matías Galarza,MF,py Paraguay,24,4.3,2,1,0.23,MF,Midfielder,PL0193,-0.96,1.6,False
Ahmed Al-Ganehi,FW,qa Qatar,25,0.4,1,0,0.0,FW,Forward,PL0194,-1.8824999999999998,3.1374999999999997,False
Ben Gannon-Doak,MF,sct Scotland,20,2.1,4,0,0.0,MF,Midfielder,PL0195,-0.96,1.6,False
Gavi,FW,es Spain,21,0.8,1,0,0.0,FW,Forward,PL0196,-1.8824999999999998,3.1374999999999997,False
Ismaël Gharbi,MF,tn Tunisia,22,1.4,3,0,0.0,MF,Midfielder,PL0197,-0.96,1.6,False
Mehdi Ghayedi,FW,ir IR Iran,27,0.5,1,0,0.0,FW,Forward,PL0198,-1.8824999999999998,3.1374999999999997,False
Saman Ghoddos,MF,ir IR Iran,32,2.3,4,0,0.0,MF,Midfielder,PL0199,-0.96,1.6,False
Mohammad Ghorbani,MF,ir IR Iran,25,1.0,2,1,1.0,MF,Midfielder,PL0200,-0.96,1.6,False
Armin Gigovic,MF,ba Bosnia–Herz,24,0.9,0,0,0.0,MF,Midfielder,PL0201,-0.96,1.6,False
Santiago Giménez,FW,mx Mexico,25,1.0,2,1,1.05,FW,Forward,PL0202,-1.8824999999999998,3.1374999999999997,False
Diego Gómez,MF,py Paraguay,23,3.4,6,0,0.0,MF,Midfielder,PL0203,-0.96,1.6,False
Armando González,FW,mx Mexico,23,0.2,0,0,0.0,FW,Forward,PL0204,-1.8824999999999998,3.1374999999999997,False
Nicolás González,MF,ar Argentina,28,2.9,7,1,0.35,MF,Midfielder,PL0205,-0.96,1.6,False
Anthony Gordon,MF,eng England,25,4.4,6,4,0.91,MF,Midfielder,PL0206,-0.96,1.6,False
Leon Goretzka,MF,de Germany,31,1.1,2,0,0.0,MF,Midfielder,PL0207,-0.96,1.6,False
Kenji Gorré,"FW,MF",cw Curaçao,31,0.2,0,0,0.0,FW,Forward,PL0208,-1.8824999999999998,3.1374999999999997,False
Keisuke Got?,FW,jp Japan,21,0.1,0,0,0.0,FW,Forward,PL0209,-1.8824999999999998,3.1374999999999997,False
Amine Gouiri,FW,dz Algeria,26,2.8,3,2,0.72,FW,Forward,PL0210,-1.8824999999999998,3.1374999999999997,False
Ryan Gravenberch,MF,nl Netherlands,24,3.8,5,0,0.0,MF,Midfielder,PL0211,-0.96,1.6,False
Michael Gregoritsch,FW,at Austria,32,2.1,1,0,0.0,FW,Forward,PL0212,-1.8824999999999998,3.1374999999999997,False
Gabriel Gudmundsson,"MF,DF",se Sweden,27,3.7,0,0,0.0,MF,Midfielder,PL0213,-0.96,1.6,False
Cho Gue-sung,FW,kr Korea Republic,28,0.3,2,1,2.9,FW,Forward,PL0214,-1.8824999999999998,3.1374999999999997,False
Evann Guessand,"FW,MF",ci Côte d'Ivoire,24,0.2,1,0,0.0,FW,Forward,PL0215,-1.8824999999999998,3.1374999999999997,False
Idrissa Gueye,MF,sn Senegal,36,4.0,5,1,0.25,MF,Midfielder,PL0216,-0.96,1.6,False
Pape Gueye,MF,sn Senegal,27,2.6,8,3,1.15,MF,Midfielder,PL0217,-0.96,1.6,False
Bruno Guimarães,MF,br Brazil,28,4.6,8,2,0.43,MF,Midfielder,PL0218,-0.96,1.6,False
Deniz Gül,FW,tr Türkiye,21,0.4,2,1,2.43,FW,Forward,PL0219,-1.8824999999999998,3.1374999999999997,False
Arda Güler,MF,tr Türkiye,21,3.0,12,4,1.33,MF,Midfielder,PL0220,-0.96,1.6,False
Brian Gutiérrez,MF,mx Mexico,22,2.2,6,0,0.0,MF,Midfielder,PL0221,-0.96,1.6,False
Viktor Gyökeres,FW,se Sweden,28,4.0,12,6,1.5,FW,Forward,PL0222,-1.8824999999999998,3.1374999999999997,False
Aziz G?aniyev,MF,uz Uzbekistan,28,1.4,1,0,0.0,MF,Midfielder,PL0223,-0.96,1.6,False
Erling Haaland,FW,no Norway,25,5.2,20,13,2.52,FW,Forward,PL0224,-1.8824999999999998,3.1374999999999997,False
Anis Hadj Moussa,MF,dz Algeria,24,1.1,2,0,0.0,MF,Midfielder,PL0225,-0.96,1.6,False
Amir Hadžiahmetovi?,MF,ba Bosnia–Herz,29,0.1,0,0,0.0,MF,Midfielder,PL0226,-0.96,1.6,False
Ali Al Hamadi,FW,iq Iraq,24,2.0,6,0,0.0,FW,Forward,PL0227,-1.8824999999999998,3.1374999999999997,False
Abdullah Al-Hamdan,FW,sa Saudi Arabia,26,0.8,2,2,2.54,FW,Forward,PL0228,-1.8824999999999998,3.1374999999999997,False
Odiljon Hamrobekov,MF,uz Uzbekistan,30,0.9,1,0,0.0,MF,Midfielder,PL0229,-0.96,1.6,False
Sontje Hansen,FW,cw Curaçao,24,0.5,1,1,2.0,FW,Forward,PL0230,-1.8824999999999998,3.1374999999999997,False
Carlos Harvey,MF,pa Panama,26,3.0,5,0,0.0,MF,Midfielder,PL0231,-0.96,1.6,False
Haissem Hassan,MF,eg Egypt,24,1.4,1,0,0.0,MF,Midfielder,PL0232,-0.96,1.6,False
Abdulaziz Hatem,MF,qa Qatar,36,0.5,0,0,0.0,MF,Midfielder,PL0233,-0.96,1.6,False
Kai Havertz,FW,de Germany,27,3.9,12,7,1.78,FW,Forward,PL0234,-1.8824999999999998,3.1374999999999997,False
Hassan Al-Haydos,MF,qa Qatar,35,0.6,1,1,1.58,MF,Midfielder,PL0235,-0.96,1.6,False
Hwang Hee-chan,FW,kr Korea Republic,30,1.2,1,0,0.0,FW,Forward,PL0236,-1.8824999999999998,3.1374999999999997,False
Alaa Al Hejji,MF,sa Saudi Arabia,30,0.4,0,0,0.0,MF,Midfielder,PL0237,-0.96,1.6,False
Jordan Henderson,MF,eng England,35,0.1,0,0,0.0,MF,Midfielder,PL0238,-0.96,1.6,False
Luiz Henrique,"FW,MF",br Brazil,25,0.3,0,0,0.0,FW,Forward,PL0239,-1.8824999999999998,3.1374999999999997,False
Son Heung-min,FW,kr Korea Republic,33,1.9,7,1,0.53,FW,Forward,PL0240,-1.8824999999999998,3.1374999999999997,False
Adam Hložek,FW,cz Czechia,23,1.7,3,1,0.58,FW,Forward,PL0241,-1.8824999999999998,3.1374999999999997,False
Amirhossein Hosseinzadeh,FW,ir IR Iran,25,0.2,1,0,0.0,FW,Forward,PL0242,-1.8824999999999998,3.1374999999999997,False
Ajdin Hrustic,MF,au Australia,29,0.9,3,0,0.0,MF,Midfielder,PL0243,-0.96,1.6,False
César Huerta,"FW,MF",mx Mexico,25,0.1,0,0,0.0,FW,Forward,PL0244,-1.8824999999999998,3.1374999999999997,False
Al-Hashmi Al-Hussain,MF,qa Qatar,22,0.4,0,0,0.0,MF,Midfielder,PL0245,-0.96,1.6,False
Ayman Hussein,FW,iq Iraq,30,1.3,3,1,0.78,FW,Forward,PL0246,-1.8824999999999998,3.1374999999999997,False
Oh Hyeon-gyu,FW,kr Korea Republic,25,1.4,4,2,1.4,FW,Forward,PL0247,-1.8824999999999998,3.1374999999999997,False
Yang Hyun-jun,"FW,MF",kr Korea Republic,24,0.2,1,1,4.5,FW,Forward,PL0248,-1.8824999999999998,3.1374999999999997,True
Hwang In-beom,MF,kr Korea Republic,29,2.9,4,2,0.68,MF,Midfielder,PL0249,-0.96,1.6,False
Christ Inao Oulaï,MF,ci Côte d'Ivoire,20,2.3,2,0,0.0,MF,Midfielder,PL0250,-0.96,1.6,False
Zidane Iqbal,MF,iq Iraq,23,2.1,0,0,0.0,MF,Midfielder,PL0251,-0.96,1.6,False
Nestory Irankunda,"FW,MF",au Australia,20,2.9,6,2,0.69,FW,Forward,PL0252,-1.8824999999999998,3.1374999999999997,False
Jackson Irvine,MF,au Australia,33,2.5,3,1,0.4,MF,Midfielder,PL0253,-0.96,1.6,False
Alexander Isak,FW,se Sweden,26,4.0,8,6,1.51,FW,Forward,PL0254,-1.8824999999999998,3.1374999999999997,False
Wilson Isidor,FW,ht Haiti,25,2.1,5,2,0.97,FW,Forward,PL0255,-1.8824999999999998,3.1374999999999997,False
Jamshid Iskanderov,"FW,MF",uz Uzbekistan,32,0.1,0,0,0.0,FW,Forward,PL0256,-1.8824999999999998,3.1374999999999997,False
Zaid Ismail,MF,iq Iraq,24,1.3,0,0,0.0,MF,Midfielder,PL0257,-0.96,1.6,False
Junya It?,MF,jp Japan,33,2.4,3,1,0.42,MF,Midfielder,PL0258,-0.96,1.6,False
Cedric Itten,"FW,MF",ch Switzerland,29,0.5,0,0,0.0,FW,Forward,PL0259,-1.8824999999999998,3.1374999999999997,False
Nicolas Jackson,FW,sn Senegal,24,2.6,7,3,1.15,FW,Forward,PL0260,-1.8824999999999998,3.1374999999999997,False
Lee Jae-sung,FW,kr Korea Republic,33,1.3,2,1,0.77,FW,Forward,PL0261,-1.8824999999999998,3.1374999999999997,False
Alireza Jahanbakhsh,"FW,MF",ir IR Iran,32,0.5,1,0,0.0,FW,Forward,PL0262,-1.8824999999999998,3.1374999999999997,False
