Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID,IQR_Lower_Bound,IQR_Upper_Bound,Potential_Outlier
Romano Schmid,"MF,FW",at Austria,26,2.9,2,1,0.34,MF,Midfielder,PL0484,-0.96,1.6,False
Nicolas Seiwald,MF,at Austria,25,3.5,3,0,0.0,MF,Midfielder,PL0485,-0.96,1.6,False
Ken Sema,"FW,MF",se Sweden,32,0.2,1,0,0.0,FW,Forward,PL0486,-1.8824999999999998,3.1374999999999997,False
Willy Semedo,FW,cv Cabo Verde,32,1.5,3,0,0.0,FW,Forward,PL0487,-1.8824999999999998,3.1374999999999997,False
Antoine Semenyo,"MF,FW",gh Ghana,26,4.0,6,0,0.0,MF,Midfielder,PL0488,-0.96,1.6,False
Igor Sergeev,FW,uz Uzbekistan,33,0.3,0,0,0.0,FW,Forward,PL0489,-1.8824999999999998,3.1374999999999997,False
Jean Seri,MF,ci Côte d'Ivoire,34,0.2,0,0,0.0,MF,Midfielder,PL0490,-0.96,1.6,False
Paik Seung-ho,MF,kr Korea Republic,29,2.3,0,0,0.0,MF,Midfielder,PL0491,-0.96,1.6,False
Jacob Shaffelburg,MF,ca Canada,26,1.0,3,0,0.0,MF,Midfielder,PL0492,-0.96,1.6,False
Mohammed Abu Al-Shamat,MF,sa Saudi Arabia,23,1.5,1,1,0.66,MF,Midfielder,PL0493,-0.96,1.6,False
Lawrence Shankland,FW,sct Scotland,30,1.9,4,0,0.0,FW,Forward,PL0494,-1.8824999999999998,3.1374999999999997,False
Aimar Sher,MF,iq Iraq,23,0.3,0,0,0.0,MF,Midfielder,PL0495,-0.96,1.6,False
Kento Shiogai,FW,jp Japan,21,0.1,0,0,0.0,FW,Forward,PL0496,-1.8824999999999998,3.1374999999999997,False
Eldor Shomurodov,FW,uz Uzbekistan,30,3.0,4,2,0.67,FW,Forward,PL0497,-1.8824999999999998,3.1374999999999997,False
